,Id,PreMinedValue,ImageUrl,FullName,Name,Symbol,Algorithm,Url,SortOrder,FullyPremined,ProofType,TotalCoinSupply,TotalCoinsFreeFloat,SmartContractAddress,Sponsored,BuiltOn,CoinName
NXT,1183,N/A,/media/20627/nxt.png,Nxt (NXT),NXT,NXT,PoS,/coins/nxt/overview,6,1,PoS/LPoS,1000000000,N/A,N/A,False,N/A,Nxt
BTCD,4400,N/A,/media/19630/btcd_1.png,BitcoinDark (BTCD),BTCD,BTCD,SHA256,/coins/btcd/overview,13,0,PoW/PoS,22000000,N/A,N/A,False,N/A,BitcoinDark
PPC,2349,N/A,/media/19864/peercoin-logo.png,PeerCoin (PPC),PPC,PPC,N/A,/coins/ppc/overview,14,0,N/A,N/A,N/A,N/A,False,N/A,PeerCoin
CRAIG,4425,N/A,/media/20022/craig.png,CraigsCoin (CRAIG),CRAIG,CRAIG,X11,/coins/craig/overview,15,0,PoS,30000000,N/A,N/A,False,N/A,CraigsCoin
XBS,5023,N/A,/media/351060/xbs_1.png,Bitstake (XBS),XBS,XBS,X11,/coins/xbs/overview,16,0,PoW/PoS,1300000,N/A,N/A,False,N/A,Bitstake
XPY,5030,N/A,/media/20076/xpy_1.png,PayCoin (XPY),XPY,XPY,SHA256,/coins/xpy/overview,17,0,PoS,12500000,N/A,N/A,False,N/A,PayCoin
DANK,3640,N/A,/media/20247/dank.png,DarkKush (DANK),DANK,DANK,X13,/coins/dank/overview,20,0,PoW/PoS,3000000,N/A,N/A,False,N/A,DarkKush
GIVE,3641,N/A,/media/20297/give.png,GiveCoin (GIVE),GIVE,GIVE,X11,/coins/give/overview,21,0,PoW,500000000,N/A,N/A,False,N/A,GiveCoin
KOBO,3642,N/A,/media/20329/kobo.png,KoboCoin (KOBO),KOBO,KOBO,X15,/coins/kobo/overview,22,0,PoW/PoS,350000000,N/A,N/A,False,N/A,KoboCoin
DT,3643,N/A,/media/20031/dt.png,DarkToken (DT),DT,DT,NIST5,/coins/dt/overview,23,0,PoW/PoS,0,N/A,N/A,False,N/A,DarkToken
CETI,3644,N/A,/media/20228/ceti.png,CETUS Coin (CETI),CETI,CETI,Scrypt,/coins/ceti/overview,24,0,PoW/PoS,0,N/A,N/A,False,N/A,CETUS Coin
SUP,3645,N/A,/media/20442/sup.png,Supcoin (SUP),SUP,SUP,N/A,/coins/sup/overview,25,0,PoW,0,N/A,N/A,False,N/A,Supcoin
XPD,3646,N/A,/media/20162/xpd.png,PetroDollar (XPD),XPD,XPD,SHA256D,/coins/xpd/overview,26,0,N/A,122107462,N/A,N/A,False,N/A,PetroDollar
GEO,3647,N/A,/media/20292/geo.png,GeoCoin (GEO),GEO,GEO,Scrypt,/coins/geo/overview,27,0,N/A,1000000000,N/A,N/A,False,N/A,GeoCoin
CHASH,3648,N/A,/media/20231/chash.png,CleverHash (CHASH),CHASH,CHASH,N/A,/coins/chash/overview,28,0,N/A,0,N/A,N/A,False,N/A,CleverHash
SPR,3649,N/A,/media/20438/spr.png,Spreadcoin (SPR),SPR,SPR,X11,/coins/spr/overview,29,0,PoW,20000000,N/A,N/A,False,N/A,Spreadcoin
WOLF,3653,N/A,/media/20559/wolf.png,Insanity Coin (WOLF),WOLF,WOLF,X11,/coins/wolf/overview,31,0,PoW,50000000,N/A,N/A,False,N/A,Insanity Coin
XDP,3655,N/A,/media/20560/xdp.png,DogeParty (XDP),XDP,XDP,N/A,/coins/xdp/overview,32,0,N/A,0,N/A,N/A,False,N/A,DogeParty
2015,3744,N/A,/media/20180/2015.png,2015 coin (2015),2015,2015,X11,/coins/2015/overview,33,0,PoW/PoS,0,N/A,N/A,False,N/A,2015 coin
42,4321,N/A,/media/12318415/42.png,42 Coin (42),42,42,Scrypt,/coins/42/overview,34,0,PoW/PoS,42,N/A,N/A,False,N/A,42 Coin
AC,4322,N/A,/media/19593/ac.png,Asia Coin (AC),AC,AC,Scrypt,/coins/ac/overview,35,0,PoS,N/A,N/A,N/A,False,N/A,Asia Coin
AERO,4324,N/A,/media/19594/aero.png,Aero Coin (AERO),AERO,AERO,X13,/coins/aero/overview,37,0,PoS,7000000,N/A,N/A,False,N/A,Aero Coin
ALF,4325,N/A,/media/19600/alf.png,AlphaCoin (ALF),ALF,ALF,Scrypt,/coins/alf/overview,38,0,PoW,210182000,N/A,N/A,False,N/A,AlphaCoin
AGS,4326,N/A,/media/19595/ags.png,Aegis (AGS),AGS,AGS,X13,/coins/ags/overview,39,0,PoS,0,N/A,N/A,False,N/A,Aegis
AMC,4327,N/A,/media/19601/amc.png,AmericanCoin (AMC),AMC,AMC,Scrypt,/coins/amc/overview,40,0,PoW,168000000,N/A,N/A,False,N/A,AmericanCoin
APEX,4330,N/A,/media/19599/apex.png,ApexCoin (APEX),APEX,APEX,X13,/coins/apex/overview,43,0,PoW/PoS,6000000,N/A,N/A,False,N/A,ApexCoin
ARCH,4331,N/A,/media/20085/arch.png,ArchCoin (ARCH),ARCH,ARCH,Scrypt,/coins/arch/overview,44,0,PoS,16403135,N/A,N/A,False,N/A,ArchCoin
ARI,4332,N/A,/media/20082/ari.png,AriCoin (ARI),ARI,ARI,Scrypt,/coins/ari/overview,46,0,PoW,322649400,N/A,N/A,False,N/A,AriCoin
BCX,4335,N/A,/media/19620/bcx.png,BattleCoin (BCX),BCX,BCX,SHA256,/coins/bcx/overview,49,0,PoS,100000000,N/A,N/A,False,N/A,BattleCoin
BET,4337,N/A,/media/19621/bet.png,BetaCoin (BET),BET,BET,SHA256,/coins/bet/overview,51,0,PoW,32000000,N/A,N/A,False,N/A,BetaCoin
BITB,4338,N/A,/media/350879/bitb.png,BitBean (BITB),BITB,BITB,SHA256,/coins/bitb/overview,52,0,PoW/PoS,50000000000,N/A,N/A,False,N/A,BitBean
BLU,4340,N/A,/media/19624/blu.png,BlueCoin (BLU),BLU,BLU,X11,/coins/blu/overview,53,0,PoW/PoS,500000000,N/A,N/A,False,N/A,BlueCoin
BLK,4339,N/A,/media/351795/blk.png,BlackCoin (BLK),BLK,BLK,Scrypt,/coins/blk/overview,54,0,PoS,N/A,N/A,N/A,False,N/A,BlackCoin
BOST,4342,N/A,/media/19626/bost.png,BoostCoin (BOST),BOST,BOST,X13,/coins/bost/overview,56,0,PoW/PoS,N/A,N/A,N/A,False,N/A,BoostCoin
BQC,4343,N/A,/media/19631/bqc.png,BQCoin (BQC),BQC,BQC,Scrypt,/coins/bqc/overview,57,0,PoW,88000000,N/A,N/A,False,N/A,BQCoin
MOON,4346,N/A,/media/19802/moon.png,MoonCoin (MOON),MOON,MOON,Scrypt,/coins/moon/overview,59,0,PoW,384000000000,N/A,N/A,False,N/A,MoonCoin
ZET,4347,N/A,/media/19993/zet.png,ZetaCoin (ZET),ZET,ZET,SHA256,/coins/zet/overview,60,0,PoW,N/A,N/A,N/A,False,N/A,ZetaCoin
SXC,4348,N/A,/media/19924/sxc.png,SexCoin (SXC),SXC,SXC,Scrypt,/coins/sxc/overview,61,0,PoW,250000000,N/A,N/A,False,N/A,SexCoin
QTL,4349,N/A,/media/19879/qtl.png,Quatloo (QTL),QTL,QTL,Scrypt,/coins/qtl/overview,62,0,PoW,100000000,N/A,N/A,False,N/A,Quatloo
ENRG,4350,N/A,/media/19697/enrg.png,EnergyCoin (ENRG),ENRG,ENRG,Scrypt,/coins/enrg/overview,63,0,PoW/PoS,0,N/A,N/A,False,N/A,EnergyCoin
QRK,4351,N/A,/media/19882/qrk.png,QuarkCoin (QRK),QRK,QRK,Multiple,/coins/qrk/overview,64,0,PoW,247000000,N/A,N/A,False,N/A,QuarkCoin
RIC,4352,N/A,/media/19888/ric.jpg,Riecoin (RIC),RIC,RIC,Groestl,/coins/ric/overview,65,0,PoW,84000000,N/A,N/A,False,N/A,Riecoin
DGC,4353,N/A,/media/19676/dgc.png,DigiCoin (DGC),DGC,DGC,Scrypt,/coins/dgc/overview,66,0,PoW,48166000,N/A,N/A,False,N/A,DigiCoin
LIMX,4354,N/A,/media/19769/limx.png,LimeCoinX (LIMX),LIMX,LIMX,X11,/coins/limx/overview,67,0,PoW,21000000 ,N/A,N/A,False,N/A,LimeCoinX
BTB,4399,N/A,/media/20083/bitb.png,BitBar (BTB),BTB,BTB,Scrypt,/coins/btb/overview,69,0,PoW/PoS,500000,N/A,N/A,False,N/A,BitBar
CAIX,4406,N/A,/media/20226/caix.png,CAIx (CAIx),CAIx,CAIX,Scrypt,/coins/caix/overview,70,0,PoS,0,N/A,N/A,False,N/A,CAIx
BTE,4401,N/A,/media/19632/bte.png,ByteCoin (BTE),BTE,BTE,SHA256,/coins/bte/overview,71,0,PoW,21000000 ,N/A,N/A,False,N/A,ByteCoin
BTM,4403,N/A,/media/20084/btm.png,BitMark (BTM),BTM,BTM,Scrypt,/coins/btm/overview,73,0,PoW,27580000,N/A,N/A,False,N/A,BitMark
BUK,4404,N/A,/media/19637/buk.png,CryptoBuk (BUK),BUK,BUK,Scrypt,/coins/buk/overview,74,0,PoW/PoS,100000000,N/A,N/A,False,N/A,CryptoBuk
CACH,4405,N/A,/media/19642/cach.png,Cachecoin (CACH),CACH,CACH,Scrypt,/coins/cach/overview,75,0,PoW,2000000000,N/A,N/A,False,N/A,Cachecoin
CANN,4407,N/A,/media/20015/cann.png,CannabisCoin (CANN),CANN,CANN,X11,/coins/cann/overview,76,0,PoW,N/A,N/A,N/A,False,N/A,CannabisCoin
CAP,4408,N/A,/media/20017/cap.png,BottleCaps (CAP),CAP,CAP,Scrypt,/coins/cap/overview,77,0,PoW/PoS,47433600,N/A,N/A,False,N/A,BottleCaps
CASH,4409,N/A,/media/20016/cash.png,CashCoin (CASH),CASH,CASH,Scrypt,/coins/cash/overview,78,0,PoW/PoS,47433600,N/A,N/A,False,N/A,CashCoin
CAT1,4410,N/A,/media/19644/cat.png,Catcoin (CAT1),CAT1,CAT1,Scrypt,/coins/cat1/overview,79,0,PoW,21000000 ,N/A,N/A,False,N/A,Catcoin
CBX,4411,N/A,/media/30001996/cbx.png,CryptoBullion (CBX),CBX,CBX,Scrypt,/coins/cbx/overview,80,0,PoW/PoS,1000000,N/A,N/A,False,N/A,CryptoBullion
CCN,4412,N/A,/media/19643/ccn.png,CannaCoin (CCN),CCN,CCN,Scrypt,/coins/ccn/overview,81,0,PoW,13140000,N/A,N/A,False,N/A,CannaCoin
CIN,4413,N/A,/media/20698/cinder.png,CinderCoin (CIN),CIN,CIN,Multiple,/coins/cin/overview,82,0,PoW/PoS,114000000,N/A,N/A,False,N/A,CinderCoin
CINNI,4414,N/A,/media/19651/cinni.jpeg,CINNICOIN (CINNI),CINNI,CINNI,Scrypt,/coins/cinni/overview,83,0,PoW,15000000,N/A,N/A,False,N/A,CINNICOIN
CXC,4415,N/A,/media/20246/cxc.png,CheckCoin (CXC),CXC,CXC,N/A,/coins/cxc/overview,84,0,PoS,100000000,N/A,N/A,False,N/A,CheckCoin
CLAM,4416,N/A,/media/20020/clam.png,CLAMS (CLAM),CLAM,CLAM,N/A,/coins/clam/overview,85,0,PoW,N/A,N/A,N/A,False,N/A,CLAMS
CLOAK,4417,N/A,/media/19994/cloak.png,CloakCoin (CLOAK),CLOAK,CLOAK,X13,/coins/cloak/overview,86,0,PoW/PoS,N/A,N/A,N/A,False,N/A,CloakCoin
CLR,4418,N/A,/media/19657/clr.png,CopperLark (CLR),CLR,CLR,SHA256,/coins/clr/overview,87,0,PoW,27200000,N/A,N/A,False,N/A,CopperLark
CMC,4419,N/A,/media/20019/cmc.png,CosmosCoin (CMC),CMC,CMC,Scrypt,/coins/cmc/overview,88,0,PoW/PoS,100000000,N/A,N/A,False,N/A,CosmosCoin
CNC,4420,N/A,/media/20021/cnc.png,ChinaCoin (CNC),CNC,CNC,Scrypt,/coins/cnc/overview,89,0,PoW,462500000,N/A,N/A,False,N/A,ChinaCoin
